Place_ID,Operator,Bussiness_Status,Location_Name,Address,Latitude,Longitude,Usage,Number_of_Connectors,Min_Power_kW,Max_Power_kW,Max_Charging_Type,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
101752,POD Point (UK),Unknown,Regional Services,"1 Bethwin Road, London, SE5 0SN",51.480867,-0.095175,"Private - For Staff, Visitors or Customers",1,11.0,11.0,Fast,No,Yes,No
259175,Char.gy,Operational,40 John Ruskin Street,"40 John Ruskin Street, London, SE5 0NX",51.4833285,-0.0970429,Public,1,3.5,3.5,Slow,No,No,Yes
264599,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, SE5 0PQ",51.482802,-0.098018,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
256335,Char.gy,Operational,Opposite 81 Hillingdon Street,"Opposite 81 Hillingdon Street, London, SE17 3UX",51.4831694,-0.099171,Public,1,3.5,3.5,Slow,No,No,Yes
236486,Char.gy,Operational,137 John Ruskin Street,"137 John Ruskin Street, London, SE5 0PQ",51.4821614,-0.0993324,Public,1,5.1,5.1,Slow,No,No,Yes
200391,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, SE5 0PQ",51.482011,-0.099652,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
259125,Char.gy,Operational,17-34 Boundary House,"17-34 Boundary House, Bethwin Road, SE5 0YB",51.480352,-0.0981325,Public,1,5.1,5.1,Slow,No,No,Yes
236931,Char.gy,Operational,Day House,"Day House, Bethwin Road, SE5 0YE",51.480509,-0.0968556,Public,1,5.1,5.1,Slow,No,No,Yes
236446,Char.gy,Operational,Opposite Burgess House,"Opposite Burgess House, Bethwin Road, SE5 0YD",51.4803303,-0.099725,Public,1,5.1,5.1,Slow,No,No,Yes
236520,Char.gy,Operational,Opposite 145 John Ruskin Street,"Opposite 145 John Ruskin Street, London, SE5 0PQ",51.4820565,-0.0997917,Public,1,3.5,3.5,Slow,No,No,Yes
236980,Char.gy,Operational,81-88 Iliffe Street,"81 - 88 Iliffe Street, London, SE17 3LL",51.4899214,-0.0997229,Public,1,3.5,3.5,Slow,No,No,Yes
235767,Char.gy,Operational,52 Lorrimore Road,"52 Lorrimore Road, London, SE17 3LZ",51.4844356,-0.0997788,Public,1,5.1,5.1,Slow,No,No,Yes
237142,Char.gy,Operational,75 Penton Place,"75 Penton Place, London, SE17 3JR",51.4885312,-0.0999436,Public,1,3.5,3.5,Slow,No,No,Yes
235778,Char.gy,Operational,89 Penton Place,"89 Penton Place, London, SE17 3JR",51.4877199,-0.0986954,Public,1,5.1,5.1,Slow,No,No,Yes
236858,Char.gy,Operational,150 Manor Place,"150 Manor Place, London, SE17 3BH",51.4885473,-0.0988486,Public,1,3.5,3.5,Slow,No,No,Yes
236981,Char.gy,Operational,46 Penrose Street,"46 Penrose Street, London, SE17 3DW",51.4874155,-0.0975829,Public,1,3.5,3.5,Slow,No,No,Yes
236882,Char.gy,Operational,62 Penrose Street,"62 Penrose Street, London, SE17 3DW",51.4872752,-0.0981117,Public,1,5.1,5.1,Slow,No,No,Yes
236995,Char.gy,Operational,70 Carter Street,"70 Carter Street, London, SE17 3EW",51.4858614,-0.0990626,Public,1,3.5,3.5,Slow,No,No,Yes
237229,Char.gy,Operational,49 Lorrimore Road,"49 Lorrimore Road, Lutterworth, LE17 3LX",51.4848005,-0.0989627,Public,1,3.5,3.5,Slow,No,No,Yes
238359,Char.gy,Operational,Draco Street,"Draco Street, adjacent to 51 Lorrimore Road, SE17 3HX",51.4845735,-0.0990197,Public,1,3.5,3.5,Slow,No,No,Yes
256430,Char.gy,Operational,142 Olney Road,"142 Olney Road, London, SE17 3HR",51.4839591,-0.0991163,Public,1,3.5,3.5,Slow,No,No,Yes
